id,contract,date,shift,area,block,equipo,bank,project,drill_type,drill_code,hour_from,hour_to,rop,hardness,high
1,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B101,TD030,BK-869,PRODUCCION,DTH,DTH-97,6.59,7.85,27.45,4.8,35.5
2,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B206,TD030,BK-121,PRODUCCION,DTH,DTH-98,8.27,8.84,25.19,4.8,12.9
3,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B215,TD030,BK-289,PRODUCCION,DTH,DTH-71,9.0,9.99,24.96,4.8,22.9
4,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,CHALCOBAMBA,B101,TD030,BK-918,PRODUCCION,DTH,DTH-16,10.39,10.95,26.98,4.8,15.1
5,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B206,TD030,BK-876,PRODUCCION,DTH,DTH-62,11.05,11.47,29.32,4.8,13.4
6,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B215,TD030,BK-134,PRODUCCION,DTH,DTH-87,11.6,12.2,27.89,4.8,16.9
7,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B206,TD030,BK-871,PRODUCCION,DTH,DTH-63,12.41,12.95,28.28,4.8,14.6
8,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B206,TD030,BK-962,PRODUCCION,DTH,DTH-57,12.99,14.22,26.63,4.8,31.2
9,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,CHALCOBAMBA,B323,TD030,BK-848,PRODUCCION,DTH,DTH-91,14.4,15.35,27.02,4.8,28.0
10,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,CHALCOBAMBA,B101,TD030,BK-256,PRODUCCION,DTH,DTH-24,15.63,16.59,29.41,4.8,28.5
11,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B323,TD030,BK-162,PRODUCCION,DTH,DTH-20,16.69,17.06,26.49,4.8,9.2
12,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B215,TD030,BK-140,PRODUCCION,DTH,DTH-37,17.17,18.27,28.47,4.8,31.3
21,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,FERROBAMBA,B323,TD072,BK-324,PRODUCCION,DTH,DTH-10,6.56,7.55,31.05,5.4,26.5
22,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,FERROBAMBA,B215,TD072,BK-935,PRODUCCION,DTH,DTH-64,7.68,8.18,30.96,5.4,17.0
23,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,FERROBAMBA,B206,TD072,BK-297,PRODUCCION,DTH,DTH-95,8.57,9.17,32.44,5.4,18.3
24,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,FERROBAMBA,B323,TD072,BK-448,PRODUCCION,DTH,DTH-12,9.44,9.89,33.11,5.4,13.7
25,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,FERROBAMBA,B323,TD072,BK-963,PRODUCCION,DTH,DTH-80,10.19,11.25,28.03,5.4,29.1
26,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,FERROBAMBA,B215,TD072,BK-572,PRODUCCION,DTH,DTH-59,11.36,12.43,30.33,5.4,35.4
27,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,FERROBAMBA,B323,TD072,BK-671,PRODUCCION,DTH,DTH-11,12.9,14.17,29.53,5.4,38.1
28,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,FERROBAMBA,B101,TD072,BK-332,PRODUCCION,DTH,DTH-28,14.67,16.03,31.39,5.4,45.8
29,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,FERROBAMBA,B323,TD072,BK-686,PRODUCCION,DTH,DTH-81,16.4,17.69,33.43,5.4,45.1
39,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B323,TD073,BK-982,PRODUCCION,DTH,DTH-96,7.44,8.0,23.18,4.0,12.2
40,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,CHALCOBAMBA,B101,TD073,BK-797,PRODUCCION,DTH,DTH-72,8.03,8.99,25.05,4.0,24.4
41,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B206,TD073,BK-882,PRODUCCION,DTH,DTH-63,9.48,10.71,27.19,4.0,30.5
42,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B101,TD073,BK-202,PRODUCCION,DTH,DTH-77,10.99,11.68,27.02,4.0,17.2
43,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B323,TD073,BK-755,PRODUCCION,DTH,DTH-22,12.1,12.66,24.91,4.0,14.1
44,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,CHALCOBAMBA,B323,TD073,BK-157,PRODUCCION,DTH,DTH-64,13.14,14.24,23.03,4.0,24.1
45,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,CHALCOBAMBA,B101,TD073,BK-740,PRODUCCION,DTH,DTH-67,14.38,14.93,23.23,4.0,12.1
46,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,CHALCOBAMBA,B323,TD073,BK-336,PRODUCCION,DTH,DTH-10,15.39,16.2,24.04,4.0,17.1
47,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,CHALCOBAMBA,B215,TD073,BK-175,PRODUCCION,DTH,DTH-35,16.68,17.8,25.64,4.0,28.9
48,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,FERROBAMBA,B323,TD079,BK-901,PRODUCCION,DTH,DTH-61,6.76,7.57,31.27,6.4,25.3
49,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,FERROBAMBA,B101,TD079,BK-615,PRODUCCION,DTH,DTH-25,7.77,8.77,31.94,6.4,34.2
50,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,FERROBAMBA,B323,TD079,BK-763,PRODUCCION,DTH,DTH-21,8.83,9.85,28.9,6.4,29.5
51,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,FERROBAMBA,B323,TD079,BK-934,PRODUCCION,DTH,DTH-74,10.06,11.08,31.65,6.4,32.0
52,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,FERROBAMBA,B206,TD079,BK-997,PRODUCCION,DTH,DTH-44,11.56,12.86,29.98,6.4,33.8
53,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,FERROBAMBA,B206,TD079,BK-214,PRODUCCION,DTH,DTH-16,13.05,14.08,31.19,6.4,33.0
54,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,FERROBAMBA,B101,TD079,BK-376,PRODUCCION,DTH,DTH-45,14.16,15.24,32.74,6.4,37.9
55,Mina Bambas Rotativas - Chalcobamba,2026-01-05,A,FERROBAMBA,B323,TD079,BK-195,PRODUCCION,DTH,DTH-33,15.35,16.49,33.88,6.4,42.3
56,Mina Bambas Rotativas - Ferrobamba,2026-01-05,A,FERROBAMBA,B101,TD079,BK-966,PRODUCCION,DTH,DTH-39,16.92,17.86,30.25,6.4,29.0
17,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,CHALCOBAMBA,B323,TD030,BK-719,PRODUCCION,DTH,DTH-53,1.26,2.27,27.26,7.6,24.0
18,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,CHALCOBAMBA,B215,TD030,BK-289,PRODUCCION,DTH,DTH-10,2.49,3.77,27.43,7.6,30.9
19,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,CHALCOBAMBA,B206,TD030,BK-555,PRODUCCION,DTH,DTH-36,3.9,4.69,30.23,7.6,25.7
20,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,CHALCOBAMBA,B215,TD030,BK-473,PRODUCCION,DTH,DTH-41,4.91,5.5,26.27,7.6,14.3
13,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,CHALCOBAMBA,B215,TD030,BK-868,PRODUCCION,DTH,DTH-14,19.46,20.74,28.27,7.6,31.9
14,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,CHALCOBAMBA,B206,TD030,BK-653,PRODUCCION,DTH,DTH-86,21.03,22.19,28.39,7.6,32.3
15,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,CHALCOBAMBA,B206,TD030,BK-584,PRODUCCION,DTH,DTH-32,22.3,23.59,28.29,7.6,36.2
16,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,CHALCOBAMBA,B215,TD030,BK-342,PRODUCCION,DTH,DTH-95,23.9,0.82,26.74,7.6,26.6
34,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,FERROBAMBA,B206,TD072,BK-576,PRODUCCION,DTH,DTH-55,0.08,0.46,31.98,6.4,10.7
35,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,FERROBAMBA,B206,TD072,BK-280,PRODUCCION,DTH,DTH-69,0.92,1.65,28.06,6.4,22.4
36,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,FERROBAMBA,B215,TD072,BK-227,PRODUCCION,DTH,DTH-27,2.08,2.74,30.36,6.4,21.3
37,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,FERROBAMBA,B206,TD072,BK-387,PRODUCCION,DTH,DTH-56,3.03,4.36,32.29,6.4,42.7
38,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,FERROBAMBA,B323,TD072,BK-492,PRODUCCION,DTH,DTH-52,4.86,5.36,31.19,6.4,16.6
30,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,FERROBAMBA,B101,TD072,BK-915,PRODUCCION,DTH,DTH-29,19.17,20.57,29.06,6.4,34.6
31,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,FERROBAMBA,B323,TD072,BK-982,PRODUCCION,DTH,DTH-95,20.76,21.89,32.45,6.4,34.0
