fecha,turno,equipo,tipo,zona,corte_min,hora_corte,horas_acum,taladros_acum,metros_acum,rop_prom,dureza,horas_restantes,metros_al_corte,metros_fin_turno
2026-04-21,A,SM-01,DTH,OTRO,60,7.5,0.0,0,0.0,0.0,M,11.0,15.1,15.1
2026-04-21,A,SM-01,DTH,OTRO,120,8.5,0.0,0,0.0,0.0,M,10.0,15.1,15.1
2026-04-21,A,SM-01,DTH,OTRO,180,9.5,0.0,0,0.0,0.0,M,9.0,15.1,15.1
2026-04-21,A,SM-01,DTH,OTRO,240,10.5,0.267,1,15.1,56.62,M,8.0,15.1,15.1
2026-04-21,A,SM-01,DTH,OTRO,300,11.5,0.267,1,15.1,56.62,M,7.0,15.1,15.1
2026-04-21,A,SM-01,DTH,OTRO,330,12.0,0.267,1,15.1,56.62,M,6.5,15.1,15.1
2026-04-21,A,SM-01,DTH,OTRO,360,12.5,0.267,1,15.1,56.62,M,6.0,,15.1
2026-04-21,A,SM-01,DTH,OTRO,420,13.5,0.267,1,15.1,56.62,M,5.0,,15.1
2026-04-21,A,SM-01,DTH,OTRO,480,14.5,0.267,1,15.1,56.62,M,4.0,,15.1
2026-04-21,A,SM-01,DTH,OTRO,540,15.5,0.267,1,15.1,56.62,M,3.0,,15.1
2026-04-21,A,SM-01,DTH,OTRO,600,16.5,0.267,1,15.1,56.62,M,2.0,,15.1
2026-04-21,A,SM-01,DTH,OTRO,660,17.5,0.267,1,15.1,56.62,M,1.0,,15.1
2026-04-22,B,TD073,DTH,FERROBAMBA,60,19.5,0.0,0,0.0,0.0,S,11.0,0.0,6.0
2026-04-22,B,TD073,DTH,FERROBAMBA,120,20.5,0.0,0,0.0,0.0,S,10.0,0.0,6.0
2026-04-22,B,TD073,DTH,FERROBAMBA,180,21.5,0.0,0,0.0,0.0,S,9.0,0.0,6.0
2026-04-22,B,TD073,DTH,FERROBAMBA,240,22.5,0.0,0,0.0,0.0,S,8.0,0.0,6.0
2026-04-22,B,TD073,DTH,FERROBAMBA,300,23.5,0.0,0,0.0,0.0,S,7.0,0.0,6.0
2026-04-22,B,TD073,DTH,FERROBAMBA,330,0.0,0.0,0,0.0,0.0,S,6.5,0.0,6.0
2026-04-22,B,TD073,DTH,FERROBAMBA,360,0.5,0.0,0,0.0,0.0,S,6.0,,6.0
2026-04-22,B,TD073,DTH,FERROBAMBA,420,1.5,0.0,0,0.0,0.0,S,5.0,,6.0
2026-04-22,B,TD073,DTH,FERROBAMBA,480,2.5,0.0,0,0.0,0.0,S,4.0,,6.0
2026-04-22,B,TD073,DTH,FERROBAMBA,540,3.5,0.0,0,0.0,0.0,S,3.0,,6.0
2026-04-22,B,TD073,DTH,FERROBAMBA,600,4.5,0.0,0,0.0,0.0,S,2.0,,6.0
2026-04-22,B,TD073,DTH,FERROBAMBA,660,5.5,0.0,0,0.0,0.0,S,1.0,,6.0
2026-04-27,B,SM-06,DTH,OTRO,60,19.5,0.317,1,6.0,18.95,D,11.0,6.0,6.0
2026-04-27,B,SM-06,DTH,OTRO,120,20.5,0.317,1,6.0,18.95,D,10.0,6.0,6.0
2026-04-27,B,SM-06,DTH,OTRO,180,21.5,0.317,1,6.0,18.95,D,9.0,6.0,6.0
2026-04-27,B,SM-06,DTH,OTRO,240,22.5,0.317,1,6.0,18.95,D,8.0,6.0,6.0
2026-04-27,B,SM-06,DTH,OTRO,300,23.5,0.317,1,6.0,18.95,D,7.0,6.0,6.0
2026-04-27,B,SM-06,DTH,OTRO,330,0.0,0.317,1,6.0,18.95,D,6.5,6.0,6.0
2026-04-27,B,SM-06,DTH,OTRO,360,0.5,0.317,1,6.0,18.95,D,6.0,,6.0
2026-04-27,B,SM-06,DTH,OTRO,420,1.5,0.317,1,6.0,18.95,D,5.0,,6.0
2026-04-27,B,SM-06,DTH,OTRO,480,2.5,0.317,1,6.0,18.95,D,4.0,,6.0
2026-04-27,B,SM-06,DTH,OTRO,540,3.5,0.317,1,6.0,18.95,D,3.0,,6.0
2026-04-27,B,SM-06,DTH,OTRO,600,4.5,0.317,1,6.0,18.95,D,2.0,,6.0
2026-04-27,B,SM-06,DTH,OTRO,660,5.5,0.317,1,6.0,18.95,D,1.0,,6.0
2026-04-30,A,TD012,DTH,FERROBAMBA,60,7.5,0.0,0,0.0,0.0,D,11.0,62.33,238.0
2026-04-30,A,TD012,DTH,FERROBAMBA,120,8.5,0.0,0,0.0,0.0,D,10.0,62.33,238.0
2026-04-30,A,TD012,DTH,FERROBAMBA,180,9.5,0.0,0,0.0,0.0,D,9.0,62.33,238.0
2026-04-30,A,TD012,DTH,FERROBAMBA,240,10.5,0.333,1,11.33,34.0,D,8.0,62.33,238.0
2026-04-30,A,TD012,DTH,FERROBAMBA,300,11.5,1.333,3,45.33,34.0,D,7.0,62.33,238.0
2026-04-30,A,TD012,DTH,FERROBAMBA,330,12.0,1.833,4,62.33,34.0,D,6.5,62.33,238.0
2026-04-30,A,TD012,DTH,FERROBAMBA,360,12.5,2.333,5,74.8,32.06,D,6.0,,238.0
2026-04-30,A,TD012,DTH,FERROBAMBA,420,13.5,3.333,6,102.0,30.6,D,5.0,,238.0
2026-04-30,A,TD012,DTH,FERROBAMBA,480,14.5,4.333,8,131.75,30.4,D,4.0,,238.0
2026-04-30,A,TD012,DTH,FERROBAMBA,540,15.5,5.333,10,157.25,29.48,D,3.0,,238.0
2026-04-30,A,TD012,DTH,FERROBAMBA,600,16.5,6.333,11,187.0,29.53,D,2.0,,238.0
2026-04-30,A,TD012,DTH,FERROBAMBA,660,17.5,7.333,13,216.75,29.56,D,1.0,,238.0
2026-04-30,A,TD030,DTH,CHALCOBAMBA,60,7.5,0.0,0,0.0,0.0,D,11.0,92.0,219.5
2026-04-30,A,TD030,DTH,CHALCOBAMBA,120,8.5,0.583,3,15.17,26.0,D,10.0,92.0,219.5
2026-04-30,A,TD030,DTH,CHALCOBAMBA,180,9.5,1.583,7,41.17,26.0,D,9.0,92.0,219.5
2026-04-30,A,TD030,DTH,CHALCOBAMBA,240,10.5,2.583,11,68.46,26.5,D,8.0,92.0,219.5
2026-04-30,A,TD030,DTH,CHALCOBAMBA,300,11.5,2.917,12,83.0,28.46,D,7.0,92.0,219.5
2026-04-30,A,TD030,DTH,CHALCOBAMBA,330,12.0,3.25,13,92.0,28.31,D,6.5,92.0,219.5
2026-04-30,A,TD030,DTH,CHALCOBAMBA,360,12.5,3.75,14,105.89,28.24,D,6.0,,219.5
